TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
         1,     30001,582.086695,         0,         0,     31924,     36094,     89194,         0,       403,         0,         0,     20061,     22434,     57639,        11,       165,         0,         0
         2,     30002,134.110399,      13.0,         0,     34358,     39148,     89370,         0,       283,         0,         0,     21603,     24317,     57697,        13,       147,         0,         0
         3,     30003,636.842231,      13.5,         0,     55912,     72506,    103880,         0,       779,         0,        63,     36318,     44115,     67000,        14,       190,         0,        68
         4,     30004,371.455595,       3.3,         0,     50192,     63175,     96067,         0,       569,         0,        48,     32298,     38561,     62006,         3,       174,         0,        52
         5,     30005,1021.14860,      53.5,       5.0,     39407,     45713,    103340,         5,      1513,         0,         0,     24903,     28365,     66682,        54,       910,         0,         0
         6,     30006,466.806807,       4.8,       4.4,     57824,     75544,    111053,         4,      1463,         0,        67,     37636,     45977,     71680,         5,       476,         0,        73
         7,     30007,790.695572,      44.0,      42.3,     56449,     73357,    112001,        42,      1138,         0,        64,     36689,     44633,     72325,        44,       225,         0,        70
         8,     30008,1096.14708,      43.6,      43.1,     54415,     68912,    121275,        43,      8101,         0,        54,     35331,     42195,     78258,        48,      4509,         0,        59
         9,     30009,393.372048,      15.5,      61.1,     73044,     98446,    128293,        89,      2945,         0,        37,     47820,     60327,     82672,        25,       871,         0,        45
        10,     30010,901.614282,      17.1,      52.6,     74928,    101014,    128839,        85,      4684,         0,        44,     49073,     61965,     83032,        25,      1788,         0,        51
        11,     30011,1280.56028,       3.9,         0,     67811,     90846,    138668,         0,      4431,         0,        26,     44373,     55507,     89444,         4,      1374,         0,        30
        12,     30012,599.771853,      14.1,         0,     78098,    105398,    140507,         0,      8469,         0,        59,     51135,     64697,     90614,        14,      3642,         0,        63
        13,     30013,278.359848,         0,         0,     89732,    120351,    146763,         0,     11089,         0,      1833,     58784,     74464,     94511,         5,      5310,         0,      2188
        14,     30014,227.153493,         0,         0,     84828,    114153,    141811,       268,     12003,         0,      1813,     55594,     70455,     91373,         1,      6019,         0,      2021
        15,     30015,3152.46340,       1.0,     257.1,     61269,     80611,    111296,       257,      3643,         0,        75,     40011,     49125,     71853,         1,      1607,         0,        82
        16,     30016,746.812178,       2.2,      66.9,     73566,     98844,    139227,       213,     10946,         0,      2291,     48264,     60690,     89684,         3,      5659,         0,      1678
        17,     30017,407.588378,       5.2,         0,     79428,    107352,    144567,       109,      8354,         0,        65,     52093,     66037,     93100,         5,      3641,         0,        68
        18,     30018,309.030427,         0,     679.5,     82670,    111452,    147665,       864,     10757,         0,        79,     54231,     68722,     95054,         1,      5240,         0,        79
        19,     30019,196.205397,     163.0,      35.7,     67694,     90222,    140392,       119,     11983,      8538,      1350,     44485,     55322,     90371,       358,      6447,      5541,      1094
        20,     30020,173.846732,     143.8,      87.7,     59719,     77620,    138261,       263,     11684,     10417,      1709,     39120,     47544,     89016,       537,      6580,      6797,      1428
        21,     30021,128.632214,         0,     405.6,     76759,    103486,    147541,       836,     12362,         0,      2140,     50402,     63648,     95027,        11,      6411,         0,      1645
        22,     30022,104.210697,       4.2,      28.1,     74943,    100860,    147943,       651,     12907,         0,      1525,     49196,     61990,     95304,        40,      6849,         0,      1456
        23,     30023,135.607746,       8.5,      88.1,     72517,     97352,    148232,       460,     13243,      8066,      1054,     47623,     59797,     95492,       292,      7220,      4074,      1035
        24,     30024,101.657431,      97.0,       3.8,     69850,     93445,    147641,       425,     13253,     10242,       657,     45904,     57364,     95026,       897,      7296,      6311,       874
        25,     30025,113.044793,     289.5,     143.4,     65291,     86611,    145452,       601,     13165,     13241,       993,     43013,     53177,     93641,      1352,      7320,      8371,       817
        26,     30026, 56.631464,     183.0,     175.0,     63754,     84181,    146092,       772,     13043,     14970,      1076,     42004,     51703,     94048,      1564,      7337,      9465,       927
        27,     30027,153.111351,         0,         0,     75467,    101511,    138112,       575,     12968,         0,      1486,     49527,     62382,     89098,         7,      6812,         0,      1320
        28,     30028,203.300975,       9.2,     152.7,     72011,     96420,    136904,      1591,     13812,      7707,      1165,     47274,     59191,     88378,       163,      7651,      4225,      1059
        29,     30029, 83.574133,     146.9,       2.4,     66846,     89078,    136000,      1485,     13925,     10467,       548,     44003,     54684,     87771,      1162,      7828,      6033,       733
        30,     30030,108.781129,     309.3,      83.4,     62345,     82125,    140754,      1513,     13796,     14165,       949,     41055,     50447,     90418,      1790,      7809,      8703,       875
        31,     30031, 64.047264,     193.0,     180.3,     63689,     84152,    134597,      1548,     13613,     13414,       820,     41998,     51726,     86657,      2039,      7792,      9278,       767
