TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
         1,     30001,582.086695,         0,         0,     67742,    107132,    177352,         0,      1955,         0,         0,     58737,     85491,    148066,        35,      1320,         0,         0
         2,     30002,134.110399,      38.5,         0,     71556,    112307,    177623,         0,      1623,         0,         0,     61770,     89709,    148154,        39,      1186,         0,         0
         3,     30003,636.842231,      18.5,         0,    109614,    157216,    194988,         9,      2982,         0,      1368,     91129,    125884,    162617,        28,      1730,         0,       987
         4,     30004,371.455595,       5.3,         0,    100350,    146733,    185797,         0,      2219,         0,         0,     83800,    117341,    155050,        10,      1341,         0,         0
         5,     30005,1021.14860,      70.5,      10.1,     79617,    122735,    193875,        10,      5506,         0,         0,     68261,     98169,    161429,        71,      3877,         0,         0
         6,     30006,466.806807,       8.6,       4.4,    112599,    160633,    203508,        37,      5159,         0,      1495,     93519,    128692,    169499,        17,      3348,         0,      1052
         7,     30007,790.695572,      44.0,      63.8,    110462,    158171,    204931,        87,      4358,         0,      1405,     91810,    126668,    170643,        58,      2633,         0,      1005
         8,     30008,1096.14708,      53.2,      44.7,    105766,    152401,    216200,        61,     12268,         0,         0,     88327,    122150,    178807,       127,      9142,         0,         0
         9,     30009,393.372048,      37.1,      71.4,    135438,    186801,    228832,       133,      7576,         0,      2556,    111980,    150221,    186503,        67,      5034,         0,      1622
        10,     30010,901.614282,      19.7,      52.6,    138353,    189735,    229559,       108,      9437,         0,      2729,    114360,    152651,    186990,        48,      6481,         0,      1707
        11,     30011,1280.56028,       8.3,         0,    127852,    178134,    245786,         0,      9579,         0,      2182,    105822,    143032,    197178,        40,      6730,         0,      1422
        12,     30012,599.771853,      21.4,         0,    144229,    195829,    250676,         0,     12900,         0,      3102,    119058,    157580,    199867,       112,      9639,         0,      1893
        13,     30013,278.359848,      14.4,         0,    159128,    213272,    262593,       351,     14926,         0,      4511,    131323,    172033,    206591,       224,     11347,         0,      1802
        14,     30014,227.153493,      24.7,         0,    153076,    206034,    252825,      1102,     15589,         0,      4166,    126422,    166059,    201043,       402,     11914,         0,      1652
        15,     30015,3152.46340,       1.0,     321.3,    119668,    167316,    204714,       322,      8101,         0,      1802,     99221,    134142,    170354,         2,      5626,         0,      1216
        16,     30016,746.812178,      87.4,      66.9,         0,         0,         0,       781,     14642,         0,         0,         0,         0,         0,       368,     10926,         0,         0
        17,     30017,407.588378,     254.5,         0,    142244,    194283,    252072,       481,     12745,         0,      2964,    117549,    156395,    200815,       271,      9291,         0,      1823
        18,     30018,309.030427,         0,     829.7,    148700,    200832,    260004,      1258,     14589,         0,      3363,    122864,    161792,    205471,       374,     10882,         0,      2024
        19,     30019,196.205397,     207.4,      52.5,    127163,    176925,    246259,       581,     15423,     11682,      4361,    105524,    142260,    197795,      1017,     11716,      9882,      3927
        20,     30020,173.846732,     195.6,     151.0,    114444,    162324,    242003,       552,     15167,     14317,      3866,     95376,    130393,    195405,      1275,     11765,     12084,      3901
        21,     30021,128.632214,      82.4,     475.8,    142165,    193576,    262144,      1840,     15798,         0,      6059,    117571,    155890,    206942,       630,     11997,         0,      4886
        22,     30022,104.210697,      91.9,     121.7,    139448,    190535,    262645,      1983,     16223,         0,      5226,    115366,    153408,    207323,       929,     12459,         0,      4734
        23,     30023,135.607746,      77.8,     187.9,    134663,    185163,    260776,      1926,     16492,      9961,      4307,    111516,    149007,    206356,      1456,     12841,      6700,      3780
        24,     30024,101.657431,     149.1,      16.3,    129339,    179434,    257542,      1842,     16494,     13683,      3575,    107290,    144335,    204537,      1979,     12884,     11216,      3406
