TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
         1,     30001,582.086695,         0,         0,     46671,     73356,    119945,        18,      2150,         0,         0,     37183,     52298,     86577,        40,      1639,         0,         0
         2,     30002,134.110399,      38.5,         0,     48378,     75989,    120081,        12,      2006,         0,         0,     38556,     54208,     86564,        49,      1558,         0,         0
         3,     30003,636.842231,      18.5,         0,     62188,     99953,    133165,        49,      2683,         0,      3267,     49164,     70818,     96386,        44,      1929,         0,      1714
         4,     30004,371.455595,       5.3,         0,     57991,     93321,    126385,        26,      2306,         0,         0,     45781,     66008,     91356,        24,      1693,         0,         0
         5,     30005,1021.14860,      70.5,      10.1,     51974,     81565,    132312,        82,      3700,         0,         0,     41442,     58242,     95818,        99,      2831,         0,         0
         6,     30006,466.806807,       8.6,       4.4,     63593,    102178,    140128,       129,      3681,         0,      3339,     50301,     72435,    101684,        53,      2626,         0,      1750
         7,     30007,790.695572,      44.0,      63.8,     62587,    100575,    140706,       124,      3295,         0,      3288,     49486,     71269,    102208,        76,      2359,         0,      1724
         8,     30008,1096.14708,      53.2,      44.7,     63045,     99056,    149622,       438,      8261,         0,         0,     50208,     70747,    108894,       408,      6408,         0,         0
         9,     30009,393.372048,      37.1,      71.4,     75040,    120275,    157402,       228,      4862,         0,      3920,     59609,     85641,    114431,       115,      3450,         0,      2043
        10,     30010,901.614282,      19.7,      52.6,     76623,    122454,    158178,       322,      6047,         0,      4001,     60894,     87230,    115000,       150,      4280,         0,      2084
        11,     30011,1280.56028,       8.3,         0,     71063,    113997,    168698,       148,      5893,         0,      3721,     56363,     81048,    123311,       124,      4340,         0,      1943
        12,     30012,599.771853,      21.4,         0,     79729,    126946,    171765,       418,      8632,         0,      4176,     63204,     90289,    125443,       291,      6453,         0,      2172
        13,     30013,278.359848,      14.4,         0,     88706,    141129,    179132,       997,     10948,         0,      4449,     70548,    100695,    130608,       556,      8154,         0,      2051
        14,     30014,227.153493,      24.7,         0,     85286,    135365,    173735,      1707,     11993,         0,      4264,     67766,     96503,    126640,       809,      8863,         0,      1968
        15,     30015,3152.46340,       1.0,     321.3,     67285,    106795,    141062,       428,      5204,         0,      3514,     53217,     75757,    102366,        80,      3780,         0,      1838
        16,     30016,746.812178,      87.4,      66.9,         0,         0,      1023,      1332,     10882,         0,         0,         0,         0,       638,       799,      8082,         0,         0
        17,     30017,407.588378,     254.5,         0,     78777,    125887,    173370,       742,      8702,         0,      4111,     62658,     89747,    126517,       474,      6264,         0,      2140
        18,     30018,309.030427,         0,     829.7,     82997,    131423,    178383,      1797,     10794,         0,      4299,     66054,     93792,    130161,       660,      7853,         0,      2234
        19,     30019,196.205397,     207.4,      52.5,     73426,    115510,    170396,      1447,     11744,      4239,      5566,     58613,     82704,    124163,      1429,      9095,      3088,      3526
        20,     30020,173.846732,     195.6,     151.0,     67528,    105911,    167800,      1334,     11347,      6101,      5287,     54055,     75975,    122232,      1602,      9185,      4448,      3500
        21,     30021,128.632214,      82.4,     475.8,     80054,    126511,    180073,      2401,     12389,         0,      6611,     63685,     90292,    131461,      1121,      9165,         0,      4073
        22,     30022,104.210697,      91.9,     121.7,     78765,    124385,    180616,      2676,     13049,         0,      6010,     62688,     88820,    131900,      1431,      9750,         0,      3963
